"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	10294	1939667	530.7
	"< 1 year"	"0"	"Male"	"M"	12867	2030478	633.7
	"1 year"	"1"	"Female"	"F"	694	1953850	35.5
	"1 year"	"1"	"Male"	"M"	874	2041158	42.8
	"2 years"	"2"	"Female"	"F"	474	1949132	24.3
	"2 years"	"2"	"Male"	"M"	572	2043022	28.0
	"3 years"	"3"	"Female"	"F"	323	1947408	16.6
	"3 years"	"3"	"Male"	"M"	468	2034666	23.0
	"4 years"	"4"	"Female"	"F"	298	1950127	15.3
	"4 years"	"4"	"Male"	"M"	342	2037529	16.8
	"5 years"	"5"	"Female"	"F"	256	1970381	13.0
	"5 years"	"5"	"Male"	"M"	290	2062134	14.1
	"6 years"	"6"	"Female"	"F"	206	1973241	10.4
	"6 years"	"6"	"Male"	"M"	282	2056414	13.7
	"7 years"	"7"	"Female"	"F"	240	1974326	12.2
	"7 years"	"7"	"Male"	"M"	271	2055665	13.2
	"8 years"	"8"	"Female"	"F"	194	2037098	9.5
	"8 years"	"8"	"Male"	"M"	289	2122016	13.6
	"9 years"	"9"	"Female"	"F"	217	2044830	10.6
	"9 years"	"9"	"Male"	"M"	245	2133694	11.5
	"10 years"	"10"	"Female"	"F"	189	2027418	9.3
	"10 years"	"10"	"Male"	"M"	276	2116601	13.0
	"11 years"	"11"	"Female"	"F"	227	2022731	11.2
	"11 years"	"11"	"Male"	"M"	279	2108491	13.2
	"12 years"	"12"	"Female"	"F"	221	2028493	10.9
	"12 years"	"12"	"Male"	"M"	313	2111065	14.8
	"13 years"	"13"	"Female"	"F"	258	2014600	12.8
	"13 years"	"13"	"Male"	"M"	387	2095103	18.5
	"14 years"	"14"	"Female"	"F"	354	2006259	17.6
	"14 years"	"14"	"Male"	"M"	509	2087472	24.4
	"15 years"	"15"	"Female"	"F"	399	2054841	19.4
	"15 years"	"15"	"Male"	"M"	771	2142150	36.0
	"16 years"	"16"	"Female"	"F"	507	2084083	24.3
	"16 years"	"16"	"Male"	"M"	1073	2181141	49.2
	"17 years"	"17"	"Female"	"F"	613	2054585	29.8
	"17 years"	"17"	"Male"	"M"	1442	2150416	67.1
	"18 years"	"18"	"Female"	"F"	776	2060801	37.7
	"18 years"	"18"	"Male"	"M"	2040	2158502	94.5
	"19 years"	"19"	"Female"	"F"	804	2073843	38.8
